Claim ID,Claim Text,System Verdict,Your Annotation (Correct/Incorrect),TP,FP,TN,FN,Precision,Recall,F1-Score,Accuracy
C1,Paris is the capital of France,Verified,Correct,=COUNTIFS(C:C,"Verified",D:D,"Correct"),=COUNTIFS(C:C,"Verified",D:D,"Incorrect"),"=COUNTIFS(C:C,""Risky*"",D:D,""Incorrect"")","=COUNTIFS(C:C,""Risky*"",D:D,""Correct"")",=E2/(E2+F2),=E2/(E2+H2),=2*(I2*J2)/(I2+J2),=(E2+G2)/(E2+F2+G2+H2)
C2,The moon is made of cheese,Verified,Incorrect,,,,,,,,
C3,Earth orbits the Sun,Verified,Correct,,,,,,,,
C4,The Earth is flat,Risky Hallucination,Incorrect,,,,,,,,
C5,Water is H2O,Risky Hallucination,Correct,,,,,,,,
C6,The Sun orbits Earth,Uncertain Claim,Incorrect,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Instructions:,,,,,,,,,,,
"1. Column C: Copy system verdict (Verified, Risky Hallucination, Uncertain Claim, Potential Hallucination)",,,,,,,,,,,
"2. Column D: Enter 'Correct' if system verdict is right, 'Incorrect' if system verdict is wrong",,,,,,,,,,,
3. Formulas in E2:L2 calculate metrics automatically,,,,,,,,,,,
4. Copy formulas down to row 2 only (they count entire columns),,,,,,,,,,,
,,,,,,,,,,,
Annotation Logic:,,,,,,,,,,,
System Verified + You Correct = TP,,,,,,,,,,,
System Verified + You Incorrect = FP,,,,,,,,,,,
System Risky/Uncertain + You Incorrect = TN,,,,,,,,,,,
System Risky/Uncertain + You Correct = FN,,,,,,,,,,,
,,,,,,,,,,,
Formulas Explained:,,,,,,,,,,,
E2 (TP): =COUNTIFS(C:C,"Verified",D:D,"Correct"),,,,,,,,,,,
F2 (FP): =COUNTIFS(C:C,"Verified",D:D,"Incorrect"),,,,,,,,,,,
"G2 (TN): =COUNTIFS(C:C,""Risky*"",D:D,""Incorrect"")",,,,,,,,,,,
"H2 (FN): =COUNTIFS(C:C,""Risky*"",D:D,""Correct"")",,,,,,,,,,,
I2 (Precision): =E2/(E2+F2),,,,,,,,,,,
J2 (Recall): =E2/(E2+H2),,,,,,,,,,,
K2 (F1): =2*(I2*J2)/(I2+J2),,,,,,,,,,,
L2 (Accuracy): =(E2+G2)/(E2+F2+G2+H2),,,,,,,,,,,
